#File	PNG-Size	WebP-Size	WebP-DSSIM	JPEG-Size	JPEG-DSSIM	JPEG-Quality
icons/EVXVjI389seSWdS7VLDqUdbl8UTmPDnShFrAMtNQKmH9mEYu0P6pkCfesortAKEt2KSQ.png	3404	1284	0.0267	1446	0.0312	90
icons/3lmmsllrKG7hIYhUSLiuKvOAVaP9CKBT5D-ZjUVqkveVy1q04izcCSdWh8J8bPXLyPg.png	12467	3472	0.0389	4166	0.0467	90
icons/0u5--rt9GQi6CYZp-RqluR7-isHbq0_1IHEqFjDO7GgkccGvwvTiao9gh6hUUSHKNnDw.png	14867	6062	0.0014	5046	0.1009	99
icons/coLhl9_i6cTxIjQrntHjHlgQqw6ManhcSixj70KBg1vS_Ab2lsZhPrHim0EY6Ua5b8I.png	4248	278	0.0136	1279	0.011	90
icons/143hw_he91oEILMFnaHAgVbMkZaWEDw98lp784qIemn3ver2jwecBNSmYM-Xk5G0B-A.png	2280	1152	0.0165	4632	0.0352	99
icons/ItahkMxwtYRWYv4VNbWYfC36sBJZ9hHkd1GOasP9Hv_nDXGCsHhqch9HmAWJ7W6Agjw.png	7897	2268	0.047	4151	0.0518	90
icons/cIA_mGvx3QZLA-VjDiSbFGNedF54rgHTgNBRgCy6p6gObE5WeUDYQf_oTDQcucqdKw.png	17989	3160	0.1024	6315	0.0943	90
icons/OyVNaGrKMzPbh0OlqfuH_ZLkIZ403snlOrzpprfWmcLaIxvTCAO9-mU0u88-kQRY_L0.png	23919	2076	0.1098	4194	0.11	85
icons/nrvgKQsMrjmIuznRUTb2COpMykvUnziqgyokRVNFQHLXARnxWNRVMBYlxbtu8DrP6Q.png	19882	3052	0.1654	4944	0.1658	82
icons/5QMlEqF65-0MRT5vVJFIylC6ERCR8t11d0BfaodaO0wP8ttNSpzVOj-wPi3EUZiO87Q.png	13844	3956	0.0402	5108	0.0459	95
icons/A7FUOG3wOSaxMLlh_M4Iwx-yQzcvS5fjeNGBaAzyVc_DNAembkZ8Bp_MHCvxG1pWUw.png	33372	3720	0.1366	6329	0.1365	85
icons/diRso1k0LZ1jQcw2V92ViLb10XqAgrAWZfvAvY20LImnbDuEs9eSLVEM3vGxW1uuJ6jC.png	3914	1070	0.0058	3974	0.0228	99
icons/ZEuvxtX3WvcgfEp4kAuHliWhIGlrXRQe-K-I0wgK-3l3Zn6jYehiSkpO3JVn47dk3U0.png	7845	2890	0.0754	7849	0.0817	95
icons/II-oWwT_yURz_aQZ7Od3QR_y6lbDCxfPCjAYA0-ogpXZtjzMYsirDvCpjOW5Ls7_giM.png	3986	1502	0.0404	4016	0.0323	90
icons/75ItRLIlrR6TYj1fNckZ96QABnza4Vcj1zvps_2mX6fUY5gKjIr1L8CvOIlwIc2w3qBz.png	30241	3616	0.0716	5960	0.0687	85
icons/EDmBUc2ddy9LylkqsVY5zal9_3cxcFEhxvvkdwuPiexOn2GwMH6Jzdrjbl4O3MBTFeGO.png	30797	3824	0.1534	6470	0.151	85
icons/lJck3M7ME2xIP33HKov9SeHlhWr1HKNdxOy0gMU9GOBoscnEL_b_Y11PD036xPt5eJWh.png	35104	4928	0.1801	9135	0.1809	90
icons/73mXoYU9RL6KfH7ccgFNbk9wDH9m6XM_i1UcnarOMWrvtKOI7EAgw_--LJNKl7IaR-8.png	3218	1472	0.27	2084	0.2694	95
icons/6YSDP7z2cItWamGuIVm_kuMJLFaKdKgMOwB80CP5OSVqszQXWk3nTEzNavJKQ7on3X0.png	9796	3138	0.0827	7689	0.0769	95
icons/et2G42oBfr9-p0sbGEhXc0zIvD_57Rq_iIpBfFe7Eb2DSOEgZzhv9p25ZFG91ZI57C0.png	31090	3200	0.1433	5369	0.1385	85
icons/qUTyRxNwqV2mDIN3lmGmX0Pqz5xINqpH04AbTiirrUNcUD2tsZyOLd1Lp164bOG3JQs.png	29294	6248	0.1295	7368	0.1376	90
icons/G9OYX5GT7trFyxYrkYeSquNFhChodkYv6JwE3IboxLbzaMbHTZjycSy_adlEUCyKHmc5.png	27367	3756	0.1079	7835	0.1059	90
icons/klMj01xpsknaMV59DC5Tne1vsfa8_iR9hfUrOBj3fLgHqP0fYaKfeqgyoRVWP1vgtFQ.png	14779	3212	0.0493	6784	0.0483	90
icons/XoczBN4NbxnkIMsEqnpCY6a0UkAgNBeRzLos2VGOtXNh2OgwokESPjx0lH86Q3UC4KA.png	14429	3420	0.03	4036	0.0236	90
icons/cw1BmXaHb_4u8wIuLPpmalUQrE0kloHKZENsn5vzANS0SOgf83bJyh_QZ828wB_lQws.png	9835	3316	0.0337	5763	0.037	95
icons/TvDHuo1s6iouIjqFp2HfIjGAygKGI3NE7R9pVZEQjNoBHrkP7Jj4azEmUTY-ZPzyYqw.png	11941	2166	0.0615	5100	0.0581	90
icons/3NtZVJ3P0lG-Y41GspmN-jbdMocbLyN9S7zTXCVpN6RUuK-_5qECaFGcFiahQ_sVbjI.png	11556	1332	0.0405	3959	0.0347	90
icons/6LBpCDbPhmPIAiNIDKJPu96eM2xwpKh0U8ieDoyFLqI1UsBdMPsU0ABFr3PWYbBvpg.png	37481	4956	0.1637	6576	0.1731	85
icons/xaEDcKONQN0WdVsMLafPcIjtLwQp-KNS02dGoqdHzyLvJBYyCfMLaLOdQJNq8D4B6Kg.png	29328	5736	0.1686	9860	0.1609	90
icons/9_fBnHPrhtfOcZkD5T6SkZgK_fLqgq41uRqO9E5x2hSP7MgePT06Ypt_N0zTseaPQHWP.png	19793	7280	0.0264	9827	0.041	99
